STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Utah,18289,8247,294950,268494,350.48,88932860,6107
Vermont,8421,3393,158228,162047,330.07,47008839,497
Virgin Islands,617,665,18584,19891,356.95,6589824,223
Virginia,152198,79494,1466956,1271129,257.49,313452433,34700
Washington,137406,47276,1372492,1423868,417.35,525090465,12372
West Virginia,14172,6294,262319,258230,236.25,57048261,2298
Wisconsin,120078,15252,870376,713263,285.81,179934504,5867
Wyoming,6907,2347,55303,55699,410.27,22236311,952
United States,5932955,2156113,68537745,64558876,304.37,18593113297,949824
Alabama,41797,12088,285740,233347,251.44,56969625,21975
Alaska,19951,2319,133140,109794,443.23,47551812,3789
Arizona,52303,38292,1005838,974053,236.03,223939806,11848
Arkansas,24280,6498,233983,148515,223.84,29944767,14167
California,881693,267361,12510255,12236685,282.35,3297872034,176873
Colorado,27133,21171,877481,891533,371.47,320022368,20138
Connecticut,31165,20940,1004121,952812,289.09,255933845,6022
Delaware,8551,2518,169388,157400,238.98,36530875,1117
District of Columbia,7468,4057,302259,251194,348.75,83277395,1360
Florida,249117,100086,2243814,1634922,224.03,353849513,141929
Georgia,247623,27625,2526630,1898725,256.80,470793116,2794
Hawaii,26285,9110,568521,576243,449.20,251796215,1105
Idaho,13436,3331,78026,70121,306.11,18843450,5747
Illinois,105745,52467,2283826,2400836,313.12,746009242,13648
Indiana,61174,21004,808470,756057,221.90,164461237,3465
Iowa,23393,9258,388728,302873,343.48,94990097,9233
Kansas,60275,11275,300649,250684,341.68,82870532,6618
Kentucky,70595,8569,607371,526001,280.93,148091201,2794
Louisiana,55629,20076,1133320,1089444,180.86,193433110,2247
Maine,5946,4047,209028,201929,297.49,58112440,5375
Maryland,58526,9924,843160,697612,310.55,204036232,1111
Massachusetts,68153,26494,2001722,1698662,396.96,641557360,20097
Michigan,73619,37508,2062920,1931664,312.29,556657904,26063
Minnesota,46781,298,1071696,873845,372.82,310515770,17793
Mississippi,20289,9235,554653,421690,184.37,74839997,8638
Missouri,42699,13476,565581,454307,238.50,102547137,34984
Montana,7077,1124,121335,77271,345.61,21246990,2425
Nebraska,10516,2539,138432,117009,290.86,32863398,2378
Nevada,49595,21480,1221955,1226794,333.17,386956759,19583
New Hampshire,10365,3081,143851,101098,260.53,25092698,484
New Jersey,99203,32510,1860997,1744144,395.10,649141421,23642
New Mexico,10302,7931,411892,390714,315.12,117717926,3825
New York,344333,82809,6789086,5683496,337.27,1772457146,30760
North Carolina,61019,29900,646511,525486,210.98,100293215,50806
North Dakota,3558,1423,82070,85645,463.06,38626661,2640
Ohio,76754,24643,1546842,1225304,320.75,377661019,10691
Oklahoma,21657,9015,577205,556970,336.42,180385628,10815
Oregon,22020,23400,757526,675863,362.93,239683190,5468
Pennsylvania,114291,55071,2908503,2295398,329.27,688842411,17918
Puerto Rico,13356,18421,738900,716149,183.18,130551937,9752
Rhode Island,14046,5412,228502,217145,311.44,65008456,5288
South Carolina,28637,12165,694010,584187,227.42,133339380,51893
South Dakota,2117,1295,41670,33098,292.32,9167663,527
Tennessee,48826,52154,905114,969601,206.12,196458530,29292
Texas,238521,113523,4819326,4237141,360.39,1407891548,141633
Utah,13015,4739,251794,203307,364.35,70910293,7081
Vermont,3829,1750,135522,131946,336.46,39552354,1476
Virgin Islands,999,478,16808,17728,373.69,6231788,550
Virginia,53867,36820,1203240,980860,268.11,253927531,47926
Washington,86383,17394,1120720,1019746,402.28,367183301,18873
West Virginia,8956,4296,252415,231882,233.05,51213019,2286
Wisconsin,68312,11677,756728,581519,285.41,147787301,7873
Wyoming,4363,1247,47120,40966,422.19,16936803,894
United States,3739543,1315324,63188394,56411415,304.66,16352575446,1067709
Alabama,37796,7156,158622,119570,257.61,29910500,18281
Alaska,15048,2324,83378,102415,291.86,28656955,4748
Arizona,39616,16179,747957,709549,234.06,161758100,34275
Arkansas,23851,5770,161458,80835,240.65,17606466,5366
